Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2012",,,,,,,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,,,,,,
State,Race and Hispanic origin,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,,,,,,,
,Asian alone,4,1,1,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),16,13,6,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,White alone or in combination,550,545,411,74.7,2.2,75.4,2.2,343,62.5,2.5,63.0,2.5,,,,,,,
,Black alone or in combination,9,8,4,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,4,1,1,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
TENNESSEE,Total,"4,849","4,678","3,210",66.2,2.0,68.6,2.0,"2,606",53.7,2.1,55.7,2.2,,,,,,,
,Male,"2,300","2,203","1,432",62.3,3.0,65.0,3.0,"1,172",50.9,3.1,53.2,3.2,,,,,,,
,Female,"2,548","2,475","1,778",69.8,2.7,71.8,2.7,"1,434",56.3,2.9,57.9,3.0,,,,,,,
,White alone,"3,925","3,836","2,621",66.8,2.2,68.3,2.2,"2,098",53.4,2.4,54.7,2.4,,,,,,,
,.White non-Hispanic alone,"3,768","3,746","2,559",67.9,2.3,68.3,2.3,"2,052",54.5,2.4,54.8,2.4,,,,,,,
,Black alone,768,722,513,66.8,6.1,71.1,6.1,441,57.4,6.5,61.1,6.6,,,,,,,
,Asian alone,50,20,13,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),241,134,107,44.4,15.0,79.7,16.3,84,34.7,14.4,62.3,19.6,,,,,,,
,White alone or in combination,"3,996","3,907","2,669",66.8,2.2,68.3,2.2,"2,136",53.5,2.4,54.7,2.4,,,,,,,
,Black alone or in combination,782,735,527,67.4,6.1,71.6,6.0,450,57.6,6.4,61.3,6.5,,,,,,,
,Asian alone or in combination,70,41,33,(B),(B),(B),(B),33,(B),(B),(B),(B),,,,,,,
TEXAS,Total,"18,642","16,062","10,749",57.7,1.1,66.9,1.1,"8,643",46.4,1.1,53.8,1.2,,,,,,,
,Male,"9,046","7,719","4,977",55.0,1.6,64.5,1.6,"3,925",43.4,1.6,50.8,1.7,,,,,,,
,Female,"9,596","8,344","5,772",60.1,1.5,69.2,1.5,"4,719",49.2,1.5,56.6,1.6,,,,,,,
,White alone,"15,029","12,989","8,643",57.5,1.2,66.5,1.2,"6,900",45.9,1.2,53.1,1.3,,,,,,,
,.White non-Hispanic alone,"8,512","8,360","6,101",71.7,1.5,73.0,1.5,"5,087",59.8,1.6,60.9,1.6,,,,,,,
,Black alone,"2,213","2,144","1,569",70.9,3.5,73.2,3.5,"1,352",61.1,3.8,63.1,3.8,,,,,,,
,Asian alone,900,506,299,33.2,6.0,59.1,8.3,214,23.8,5.4,42.4,8.4,,,,,,,
,Hispanic (of any race),"6,831","4,867","2,652",38.8,2.8,54.5,3.4,"1,890",27.7,2.6,38.8,3.3,,,,,,,
,White alone or in combination,"15,200","13,144","8,749",57.6,1.2,66.6,1.2,"6,968",45.8,1.2,53.0,1.3,,,,,,,
,Black alone or in combination,"2,293","2,207","1,606",70.0,3.5,72.8,3.5,"1,380",60.2,3.7,62.5,3.8,,,,,,,
,Asian alone or in combination,909,515,305,33.5,6.0,59.2,8.3,220,24.2,5.4,42.8,8.3,,,,,,,
UTAH,Total,"1,917","1,793","1,138",59.4,2.3,63.5,2.4,"1,022",53.3,2.4,57.0,2.4,,,,,,,
,Male,940,869,543,57.8,3.3,62.4,3.4,494,52.6,3.4,56.9,3.5,,,,,,,
,Female,977,924,595,60.9,3.2,64.4,3.3,528,54.0,3.3,57.1,3.4,,,,,,,
,White alone,"1,780","1,683","1,089",61.2,2.4,64.7,2.4,989,55.6,2.4,58.8,2.5,,,,,,,
,.White non-Hispanic alone,"1,561","1,546","1,030",66.0,2.5,66.6,2.5,943,60.4,2.6,61.0,2.6,,,,,,,
,Black alone,23,18,9,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
,Asian alone,57,37,20,(B),(B),(B),(B),12,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),233,151,61,26.1,9.4,40.1,13.0,49,20.9,8.7,32.1,12.4,,,,,,,
,White alone or in combination,"1,808","1,712","1,097",60.7,2.4,64.1,2.4,997,55.1,2.4,58.2,2.5,,,,,,,
,Black alone or in combination,34,28,11,(B),(B),(B),(B),11,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,59,40,22,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
VERMONT,Total,496,487,357,72.0,2.5,73.4,2.5,308,62.1,2.7,63.3,2.7,,,,,,,
,Male,241,237,168,69.8,3.6,70.7,3.6,146,60.6,3.9,61.4,3.9,,,,,,,
,Female,255,249,189,74.2,3.4,75.9,3.3,162,63.5,3.7,65.0,3.7,,,,,,,
,White alone,470,464,341,72.6,2.5,73.5,2.5,293,62.4,2.7,63.2,2.7,,,,,,,
,.White non-Hispanic alone,466,461,339,72.8,2.5,73.6,2.5,291,62.5,2.7,63.2,2.8,,,,,,,
,Black alone,5,5,3,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone,7,4,4,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),6,5,3,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,White alone or in combination,480,474,348,72.5,2.5,73.4,2.5,300,62.5,2.7,63.2,2.7,,,,,,,
,Black alone or in combination,6,6,3,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,8,5,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
VIRGINIA,Total,"6,094","5,645","4,210",69.1,1.8,74.6,1.7,"3,778",62.0,1.9,66.9,1.9,,,,,,,
,Male,"2,890","2,648","1,931",66.8,2.6,72.9,2.6,"1,709",59.1,2.7,64.5,2.8,,,,,,,
,Female,"3,204","2,998","2,279",71.1,2.4,76.0,2.3,"2,069",64.6,2.5,69.0,2.5,,,,,,,
,White alone,"4,496","4,245","3,222",71.7,2.0,75.9,2.0,"2,872",63.9,2.1,67.6,2.1,,,,,,,
,.White non-Hispanic alone,"4,169","4,114","3,118",74.8,2.0,75.8,2.0,"2,778",66.6,2.2,67.5,2.2,,,,,,,
,Black alone,"1,133","1,063",772,68.1,5.0,72.6,4.9,715,63.1,5.2,67.2,5.2,,,,,,,
,Asian alone,316,223,136,43.1,10.5,61.1,12.3,118,37.3,10.3,53.0,12.6,,,,,,,
,Hispanic (of any race),375,154,114,30.3,11.1,73.6,16.6,103,27.5,10.8,66.8,17.8,,,,,,,
,White alone or in combination,"4,594","4,329","3,278",71.4,2.0,75.7,1.9,"2,925",63.7,2.1,67.6,2.1,,,,,,,
,Black alone or in combination,"1,206","1,125",810,67.2,4.9,72.0,4.8,753,62.4,5.0,66.9,5.1,,,,,,,
,Asian alone or in combination,332,236,144,43.5,10.3,61.2,12.0,126,38.0,10.0,53.5,12.3,,,,,,,
WASHINGTON,Total,"5,230","4,832","3,533",67.6,2.0,73.1,1.9,"3,172",60.7,2.0,65.6,2.1,,,,,,,
,Male,"2,546","2,338","1,658",65.1,2.9,70.9,2.8,"1,491",58.5,3.0,63.8,3.0,,,,,,,
,Female,"2,684","2,495","1,875",69.9,2.7,75.2,2.6,"1,682",62.7,2.8,67.4,2.8,,,,,,,
,White alone,"4,301","4,039","2,987",69.4,2.1,74.0,2.1,"2,696",62.7,2.2,66.8,2.2,,,,,,,
,.White non-Hispanic alone,"3,936","3,829","2,875",73.0,2.1,75.1,2.1,"2,603",66.1,2.3,68.0,2.3,,,,,,,
,Black alone,162,149,103,63.8,13.9,69.5,13.9,72,44.3,14.3,48.3,15.0,,,,,,,
,Asian alone,377,255,178,47.2,9.9,69.7,11.0,169,44.7,9.8,66.0,11.4,,,,,,,
,Hispanic (of any race),460,298,172,37.5,10.8,58.0,13.6,139,30.2,10.2,46.6,13.8,,,,,,,
,White alone or in combination,"4,550","4,288","3,171",69.7,2.1,73.9,2.0,"2,868",63.0,2.2,66.9,2.2,,,,,,,
,Black alone or in combination,214,201,146,68.2,11.7,72.8,11.5,115,53.5,12.5,57.0,12.8,,,,,,,
,Asian alone or in combination,452,331,236,52.2,9.0,71.4,9.5,223,49.2,9.0,67.3,9.9,,,,,,,
WEST VIRGINIA,Total,"1,452","1,442",982,67.6,2.2,68.1,2.2,690,47.5,2.4,47.8,2.4,,,,,,,
,Male,705,700,474,67.3,3.2,67.7,3.2,332,47.0,3.4,47.4,3.4,,,,,,,
,Female,747,742,508,67.9,3.1,68.4,3.1,358,47.9,3.3,48.2,3.3,,,,,,,
,White alone,"1,391","1,386",948,68.2,2.2,68.4,2.2,665,47.8,2.4,48.0,2.4,,,,,,,
,.White non-Hispanic alone,"1,381","1,378",944,68.4,2.3,68.6,2.3,662,48.0,2.4,48.1,2.4,,,,,,,
,Black alone,40,38,23,(B),(B),(B),(B),19,(B),(B),(B),(B),,,,,,,
,Asian alone,7,5,3,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),14,13,8,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,400","1,395",951,68.0,2.2,68.2,2.2,668,47.7,2.4,47.9,2.4,,,,,,,
,Black alone or in combination,41,39,24,(B),(B),(B),(B),20,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,7,5,3,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
WISCONSIN,Total,"4,352","4,247","3,318",76.3,1.9,78.1,1.9,"3,127",71.9,2.0,73.6,2.0,,,,,,,
,Male,"2,115","2,058","1,554",73.5,2.9,75.5,2.8,"1,460",69.0,3.0,70.9,3.0,,,,,,,
,Female,"2,236","2,189","1,764",78.9,2.6,80.6,2.5,"1,667",74.6,2.8,76.2,2.7,,,,,,,
,White alone,"3,920","3,856","3,030",77.3,2.0,78.6,2.0,"2,854",72.8,2.1,74.0,2.1,,,,,,,
,.White non-Hispanic alone,"3,751","3,728","2,968",79.1,2.0,79.6,2.0,"2,797",74.6,2.1,75.0,2.1,,,,,,,
,Black alone,242,227,184,76.1,9.9,81.0,9.4,178,73.7,10.3,78.5,9.9,,,,,,,
,Asian alone,35,20,15,(B),(B),(B),(B),15,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),214,163,76,35.5,15.4,46.8,18.4,71,33.3,15.1,43.9,18.3,,,,,,,
,White alone or in combination,"3,967","3,898","3,061",77.2,2.0,78.5,2.0,"2,885",72.7,2.1,74.0,2.1,,,,,,,
,Black alone or in combination,255,241,198,77.3,9.5,82.1,9.0,192,75.1,9.8,79.6,9.4,,,,,,,
,Asian alone or in combination,40,25,17,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
WYOMING,Total,427,419,268,62.8,2.6,63.9,2.6,247,57.8,2.6,58.9,2.6,,,,,,,
,Male,213,209,127,59.6,3.7,61.0,3.7,118,55.2,3.7,56.4,3.7,,,,,,,
,Female,213,211,141,65.9,3.5,66.7,3.5,129,60.4,3.6,61.2,3.7,,,,,,,
,White alone,403,396,259,64.2,2.6,65.3,2.6,240,59.4,2.7,60.4,2.7,,,,,,,
,.White non-Hispanic alone,373,372,249,66.8,2.7,67.0,2.7,232,62.1,2.7,62.3,2.7,,,,,,,
,Black alone,3,3,1,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Asian alone,2,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),32,27,10,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,White alone or in combination,409,402,262,64.1,2.6,65.2,2.6,243,59.4,2.6,60.4,2.7,,,,,,,
,Black alone or in combination,4,4,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,4,3,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2012",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,
"Federal surveys now give respondents the option of reporting more than one race.  Therefore, two basic ways of defining a race group are possible.A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept).  ",,,,,,,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,,,
"The symbol (B) means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,,,,,,,,,,,,
